Gene Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
ATRNL1	chr10	116853123	117708509	855387	+	10q25.3	116870465	117708509	838045	Normal	0.029961396814639	15819987	Hetero	0.5	16917165
KCNQ1	chr11	2466220	2870340	404121	+	11p15.5	2466220	2632241	166022	Loss	-0.582020224941981	2461910	Unbalanced	0.214994896203279	2379924
KCNQ1OT1	chr11	2629557	2721228	91672	-	11p15.5	2629557	2632241	2685	Loss	-0.582020224941981	2461910	Unbalanced	0.214994896203279	2379924
KCNQ1OT1	chr11	2629557	2721228	91672	-	11p15.5	2696744	2721228	24485	Loss	-0.584094991387128	17495544	Unbalanced	0.187831480924348	17445096
KCNQ1	chr11	2466220	2870340	404121	+	11p15.5	2696744	2870340	173597	Loss	-0.584094991387128	17495544	Unbalanced	0.187831480924348	17445096
EXT2	chr11	44117098	44266980	149883	+	11p11.2	44117098	44141850	24753	Loss	-0.56305299903967	23956492	NA	NA	NA
EXT2	chr11	44117098	44266980	149883	+	11p11.2	44142934	44266980	124047	Loss	-0.534983984443607	7053273	Unbalanced	0.185258248022624	6525613
FLT3	chr13	28577410	28674729	97320	-	13q12.2	28577410	28597839	20430	Loss	-0.577253459418399	5961682	Unbalanced	0.195886569478179	5923970
FLT3	chr13	28577410	28674729	97320	-	13q12.2	28627672	28674729	47058	Loss	-0.551879538657549	5330333	Unbalanced	0.184902560360658	5312844
STARD13	chr13	33677271	34250972	573702	-	13q13.1	33677271	33940515	263245	Loss	-0.551879538657549	5330333	Unbalanced	0.184902560360658	5312844
STARD13	chr13	33677271	34250972	573702	-	13q13.1	33947222	34250972	303751	Loss	-0.59560134886617	2813923	Unbalanced	0.206454663014993	2813923
CCDC169-SOHLH2	chr13	36742344	36871992	129649	-	13q13.3	36742344	36761144	18801	Loss	-0.59560134886617	2813923	Unbalanced	0.206454663014993	2813923
SOHLH2	chr13	36742344	36788752	46409	-	13q13.3	36742344	36761144	18801	Loss	-0.59560134886617	2813923	Unbalanced	0.206454663014993	2813923
SOHLH2	chr13	36742344	36788752	46409	-	13q13.3	36773632	36788752	15121	Loss	-0.6066475570304	10584909	Unbalanced	0.184632498055997	10584909
CCDC169-SOHLH2	chr13	36742344	36871992	129649	-	13q13.3	36773632	36871992	98361	Loss	-0.6066475570304	10584909	Unbalanced	0.184632498055997	10584909
ESD	chr13	47345390	47371367	25978	-	13q14.2	47345390	47358540	13151	Loss	-0.6066475570304	10584909	Unbalanced	0.184632498055997	10584909
ESD	chr13	47345390	47371367	25978	-	13q14.2	47366033	47371367	5335	Loss	-0.554775462708291	25214592	Unbalanced	0.194588666410339	25198445
MIR4500HG	chr13	88096241	88323218	226978	-	13q31.2	88096241	88248978	152738	Loss	-0.533357455926692	6793416	Unbalanced	0.203264646870749	6773537
MIR4500HG	chr13	88096241	88323218	226978	-	13q31.2	88263317	88323218	59902	Loss	-0.555248456973316	26839834	Unbalanced	0.191308032931299	26018888
MDGA2	chr14	47308825	48144157	835333	-	14q21.3	47308825	47736050	427226	Loss	-0.553576383288536	6597311	Unbalanced	0.199026081839012	6524826
MDGA2	chr14	47308825	48144157	835333	-	14q21.3	47773513	48144157	370645	Loss	-0.599292032286545	30390339	Unbalanced	0.18692211568653	30370284
KCNK10	chr14	88646451	88793256	146806	-	14q31.3	88646451	88758486	112036	Loss	-2.43565117299941	154985	Unbalanced	0.198335281156358	12363696
KCNK10	chr14	88646451	88793256	146806	-	14q31.3	88767655	88793256	25602	Loss	-0.649011616932083	2170086	Unbalanced	0.198335281156358	12363696
GNAO1	chr16	56225250	56391356	166107	+	16q12.2	56225250	56249887	24638	Normal	0.0119456298849468	845133	Unbalanced	0.474983648233837	845133
GNAO1	chr16	56225250	56391356	166107	+	16q12.2	56261429	56391356	129928	Normal	0.000626138995840332	33896577	Hetero	0.5	33413640
STK11	chr19	1205797	1228434	22638	+	19p13.3	1205797	1208072	2276	Loss	-0.0535151623723934	960841	Hetero	0.5	58277894
STK11	chr19	1205797	1228434	22638	+	19p13.3	1209048	1228434	19387	Loss	-0.380028924518021	101450	Hetero	0.5	58277894
GSTTP1	chr22	24340594	24347258	6665	-	22q11.23	24340594	24341388	795	Loss	-0.506434465062313	8286676	Unbalanced	0.250127703405735	11802230
GSTTP1	chr22	24340594	24347258	6665	-	22q11.23	24346428	24347258	831	Loss	-2.51788964866836	22581	Unbalanced	0.250127703405735	11802230
GSTTP2	chr22	24385937	24401899	15963	-	22q11.23	24385937	24390318	4382	Loss	-1.62693902534795	19411	Unbalanced	0.250127703405735	11802230
GSTTP2	chr22	24385937	24401899	15963	-	22q11.23	24394088	24401899	7812	Loss	-0.506434465062313	4699890	Unbalanced	0.250127703405735	11802230
CHEK2	chr22	29083730	29137822	54093	-	22q12.1	29083730	29093977	10248	Loss	-0.506434465062313	4699890	NA	NA	NA
CHEK2	chr22	29083730	29137822	54093	-	22q12.1	29100711	29137822	37112	Loss	-0.555731805597288	2685259	NA	NA	NA
XG	chrX	2670092	2734541	64450	+	Xp22.33	2670092	2686899	16808	Loss	-0.0655565030376443	2285159	Unbalanced	0.489732848746436	154370144
XG	chrX	2670092	2734541	64450	+	Xp22.33	2699968	2734541	34574	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SPRY3	chrX	154842225	155012119	169895	+	Xq28	154842225	154979673	137449	Loss	-0.812148109443925	152279706	Unbalanced	0.489732848746436	154370144
SPRY3	chrX	154842225	155012119	169895	+	Xq28	154988700	155012119	23420	Normal	0.0292033291912122	230665	Unbalanced	0.489732848746436	154370144
