Chrom	Chr	Start	End	Width	BAF.Value	BAF.Status	Start.FeatureName	End.FeatureName	Start.FeatureIdx	End.FeatureIdx	Features
chr13	13	47366033	72564477	25198445	0.194588666410339	Unbalanced	S-tag139250	S-tag326815	39310	38930	381
chr13	13	72688774	81284435	8595662	0.182662484849372	Unbalanced	S-tag069170	S-tag259566	39433	39311	123
chr13	13	81475442	88248978	6773537	0.203264646870749	Unbalanced	S-tag215791	S-tag278888	39573	39434	140
chr13	13	88263317	114282204	26018888	0.191308032931299	Unbalanced	S-tag294138	S-tag023386	40195	39574	622
chr14	14	20386925	22022117	1635193	0.207955252556574	Unbalanced	S-tag294946	S-tag315729	40216	40196	21
chr14	14	22091105	23273057	1181953	0.156381809514302	Unbalanced	S-tag247562	S-tag200744	40255	40217	39
chr14	14	23325637	34304070	10978434	0.19387705012611	Unbalanced	S-tag132030	S-tag248836	40430	40256	175
chr14	14	34431277	41144639	6713363	0.183408946996289	Unbalanced	S-tag301006	S-tag292418	40542	40431	112
chr14	14	41211225	47736050	6524826	0.199026081839012	Unbalanced	S-tag093540	S-tag277998	40651	40543	109
chr14	14	47773513	78143796	30370284	0.18692211568653	Unbalanced	S-tag196693	S-tag197421	41172	40652	521
chr14	14	78219285	90582980	12363696	0.198335281156358	Unbalanced	S-tag310879	S-tag104720	41382	41173	210
chr14	14	90956060	106827735	15871676	0.193199689111	Unbalanced	S-tag006722	S-tag092797	41698	41383	316
chr15	15	22904312	101977143	79072832	0.5	Hetero	S-tag179419	S-tag075317	43330	41699	1632
chr16	16	277458	55350601	55073144	0.5	Hetero	S-tag040229	S-tag215450	44083	43331	753
chr16	16	55404755	56249887	845133	0.474983648233837	Unbalanced	S-tag219412	S-tag072871	44114	44084	31
chr16	16	56261429	89675068	33413640	0.5	Hetero	S-tag033981	S-tag003476	44898	44115	784
chr17	17	400959	78937165	78536207	0.5	Hetero	S-tag289750	S-tag153606	46391	44899	1493
chr17	17	78943074	80180346	1237273	0.455807880443685	Unbalanced	S-tag200402	S-tag167994	46425	46392	34
chr18	18	415401	75274032	74858632	0.5	Hetero	S-tag060845	S-tag091703	47940	46426	1515
chr18	18	75401914	75983313	581400	0.469355283524593	Unbalanced	S-tag237854	S-tag230726	47955	47941	15
chr18	18	76010729	77991985	1981257	0.5	Hetero	S-tag262156	S-tag187044	48009	47956	54
chr19	19	292901	58570794	58277894	0.5	Hetero	S-tag184039	S-tag144017	49223	48010	1214
chr20	20	87112	62884613	62797502	0.5	Hetero	S-tag321081	S-tag103783	50698	49224	1475
chr21	21	14780336	46473160	31692825	0.5	Hetero	S-tag326890	S-tag056318	51371	50699	673
chr22	22	17225903	29028132	11802230	0.250127703405735	Unbalanced	S-tag179351	S-tag086135	51535	51372	164
chr22	22	29156448	31785969	2629522	0.236208889045213	Unbalanced	S-tag046580	S-tag111706	51592	51536	57
chr22	22	31807375	50758873	18951499	0.249193154667192	Unbalanced	S-tag016203	S-tag243516	51935	51593	343
chrX	23	814723	155184866	154370144	0.489732848746436	Unbalanced	S-tag115841	S-tag089277	51949	51936	14
