Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
SUCLG1	chr2	84650646	84686586	35941	-	2p11.2	84650646	84686586	35941	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
RANBP2	chr2	109335936	109402267	66332	+	2q12.3	109335936	109402267	66332	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
PAX8	chr2	113973573	114036498	62926	-	2q13	113973573	114036498	62926	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
CXCR4	chr2	136871918	136875725	3808	-	2q22.1	136871918	136875725	3808	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
LRP1B	chr2	140988995	142889270	1900276	-	2q22.1	140988995	142889270	1900276	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
ACVR1	chr2	158592957	158732374	139418	-	2q24.1	158592957	158732374	139418	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
PDK1	chr2	173420100	173490351	70252	+	2q31.1	173420100	173490351	70252	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
NFE2L2	chr2	178095030	178129859	34830	-	2q31.2	178095030	178129859	34830	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
STAT1	chr2	191833761	191878976	45216	-	2q32.2	191833761	191878976	45216	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
STAT4	chr2	191894301	192016322	122022	-	2q32.2	191894301	192016322	122022	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
SF3B1	chr2	198256697	198299817	43121	-	2q33.1	198256697	198299817	43121	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
CASP8	chr2	202098165	202152434	54270	+	2q33.1	202098165	202152434	54270	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
FZD7	chr2	202899309	202903160	3852	+	2q33.1	202899309	202903160	3852	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
CTLA4	chr2	204732510	204738683	6174	+	2q33.2	204732510	204738683	6174	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
IDH1	chr2	209100950	209119867	18918	-	2q34	209100950	209119867	18918	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
ERBB4	chr2	212240441	213403352	1162912	-	2q34	212240441	213403352	1162912	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
BARD1	chr2	215590369	215674435	84067	-	2q35	215590369	215674435	84067	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
ATIC	chr2	216176678	216214496	37819	+	2q35	216176678	216214496	37819	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
FN1	chr2	216225162	216300793	75632	-	2q35	216225162	216300793	75632	Normal	-0.0139396272687414	198073001	Hetero	0.5	197056078
FANCD2	chr3	10068070	10143621	75552	+	3p25.3	10068070	10143621	75552	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
VHL	chr3	10183318	10195354	12037	+	3p25.3	10183318	10195354	12037	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
PPARG	chr3	12329348	12475855	146508	+	3p25.2	12329348	12475855	146508	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
RAF1	chr3	12625099	12705700	80602	-	3p25.2	12625099	12705700	80602	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
TOP2B	chr3	25639395	25705863	66469	-	3p24.2	25639395	25705863	66469	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
TGFBR2	chr3	30647993	30735633	87641	+	3p24.1	30647993	30735633	87641	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
CCR4	chr3	32993065	32996403	3339	+	3p22.3	32993065	32996403	3339	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
MLH1	chr3	37034840	37092337	57498	+	3p22.2	37034840	37092337	57498	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
MYD88	chr3	38179968	38184512	4545	+	3p22.2	38179968	38184512	4545	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
CTNNB1	chr3	41240941	41281939	40999	+	3p22.1	41240941	41281939	40999	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
SETD2	chr3	47057897	47205467	147571	-	3p21.31	47057897	47205467	147571	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
SMARCC1	chr3	47627377	47823405	196029	-	3p21.31	47627377	47823405	196029	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
MST1R	chr3	49924435	49941070	16636	-	3p21.31	49924435	49941070	16636	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
BAP1	chr3	52435019	52444121	9103	-	3p21.1	52435019	52444121	9103	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
PBRM1	chr3	52579367	52719866	140500	-	3p21.1	52579367	52719866	140500	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
PDHB	chr3	58413356	58419579	6224	-	3p14.3	58413356	58419579	6224	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
SUCLG2	chr3	67410883	67705038	294156	-	3p14.1	67410883	67699371	288489	Normal	0.00559480645353594	67635961	Hetero	0.5	159972990
MITF	chr3	69788585	70017488	228904	+	3p14.1	69788585	70017488	228904	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
EPHA3	chr3	89156673	89531284	374612	+	3p11.1	89156673	89531284	374612	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
TFG	chr3	100428133	100467811	39679	+	3q12.2	100428133	100467811	39679	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
GSK3B	chr3	119540801	119813264	272464	-	3q13.33	119540801	119813264	272464	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
GATA2	chr3	128198264	128212030	13767	-	3q21.3	128198264	128212030	13767	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
EPHB1	chr3	134514098	134979307	465210	+	3q22.2	134514098	134979307	465210	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
PIK3CB	chr3	138371539	138478201	106663	-	3q22.3	138371539	138478201	106663	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
FOXL2	chr3	138663065	138665982	2918	-	3q22.3	138663065	138665982	2918	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
ATR	chr3	142168076	142297668	129593	-	3q23	142168076	142297668	129593	Normal	-0.025019155417454	90369281	Hetero	0.5	159972990
PIK3CA	chr3	178866310	178957881	91572	+	3q26.32	178866310	178957881	91572	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
ACTL6A	chr3	179280667	179306193	25527	+	3q26.33	179280667	179306193	25527	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
SOX2	chr3	181429711	181432223	2513	+	3q26.33	181429711	181432223	2513	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
KLHL6	chr3	183205318	183273499	68182	-	3q27.1	183205318	183273499	68182	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
EPHB3	chr3	184279586	184300196	20611	+	3q27.1	184279586	184300196	20611	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
ETV5	chr3	185764105	185826901	62797	-	3q27.2	185764105	185826901	62797	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
BCL6	chr3	187439164	187463513	24350	-	3q27.3	187439164	187463513	24350	Normal	-0.0317071818094913	21275757	Hetero	0.5	35667837
TACC3	chr4	1723216	1746905	23690	+	4p16.3	1723216	1746905	23690	Gain	0.0612359982023174	8984317	Hetero	0.5	190025221
FGFR3	chr4	1795038	1810599	15562	+	4p16.3	1795038	1810599	15562	Gain	0.0612359982023174	8984317	Hetero	0.5	190025221
SLC34A2	chr4	25657434	25680368	22935	+	4p15.2	25657434	25680368	22935	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
PDGFRA	chr4	55095263	55164412	69150	+	4q12	55095263	55164412	69150	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
KIT	chr4	55524094	55606881	82788	+	4q12	55524094	55606881	82788	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
KDR	chr4	55944425	55991762	47338	-	4q12	55944425	55991762	47338	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
EPHA5	chr4	66185280	66536213	350934	-	4q13.1	66185280	66536213	350934	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
SEC31A	chr4	83739661	83821724	82064	-	4q21.22	83739661	83821724	82064	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
TET2	chr4	106067031	106200960	133930	+	4q24	106067031	106200960	133930	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
CCNA2	chr4	122737598	122745088	7491	-	4q27	122737598	122745088	7491	Normal	0.0112362400802055	118730249	Hetero	0.5	190025221
PLK4	chr4	128802015	128820377	18363	+	4q28.2	128802015	128820377	18363	Normal	0.00834456461953913	63089939	Hetero	0.5	190025221
INPP4B	chr4	142949181	143767604	818424	-	4q31.21	142949181	143767604	818424	Normal	0.00834456461953913	63089939	Hetero	0.5	190025221
FBXW7	chr4	153242409	153456393	213985	-	4q31.3	153242409	153456393	213985	Normal	0.00834456461953913	63089939	Hetero	0.5	190025221
VEGFC	chr4	177604684	177713899	109216	-	4q34.3	177604684	177713899	109216	Normal	0.00834456461953913	63089939	Hetero	0.5	190025221
CASP3	chr4	185548849	185570629	21781	-	4q35.1	185548849	185570629	21781	Normal	0.00834456461953913	63089939	Hetero	0.5	190025221
BRD9	chr5	863849	892939	29091	-	5p15.33	863849	892939	29091	Gain	0.0538419238453552	8468160	Hetero	0.5	180550965
IL7R	chr5	35856976	35879705	22730	+	5p13.2	35856976	35879705	22730	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
RICTOR	chr5	38938022	39074510	136489	-	5p13.1	38938022	39074510	136489	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
FGF10	chr5	44305096	44388784	83689	-	5p12	44305096	44388784	83689	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
MAP3K1	chr5	56110899	56191978	81080	+	5q11.2	56110899	56191978	81080	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
PLK2	chr5	57749809	57755966	6158	-	5q11.2	57749809	57755966	6158	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
PIK3R1	chr5	67511583	67597649	86067	+	5q13.1	67511583	67597649	86067	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
CCNB1	chr5	68462836	68474070	11235	+	5q13.2	68462836	68474070	11235	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
APC	chr5	112043201	112181936	138736	+	5q22.2	112043201	112181936	138736	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
RAD50	chr5	131892615	131980313	87699	+	5q31.1	131892615	131980313	87699	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
CTNNA1	chr5	138089074	138270723	181650	+	5q31.2	138089074	138270723	181650	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
FCHSD1	chr5	141018868	141030986	12119	-	5q31.3	141018868	141030986	12119	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
CSNK1A1	chr5	148875456	148931115	55660	-	5q32	148875456	148931115	55660	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
CSF1R	chr5	149432853	149492935	60083	-	5q32	149432853	149492935	60083	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
PDGFRB	chr5	149493401	149535422	42022	-	5q32	149493401	149535422	42022	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
CD74	chr5	149781199	149792499	11301	-	5q32	149781199	149792499	11301	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
NPM1	chr5	170814707	170837888	23182	+	5q35.1	170814707	170837888	23182	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
FGFR4	chr5	176513872	176525143	11272	+	5q35.2	176513872	176525143	11272	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
SQSTM1	chr5	179233387	179265077	31691	+	5q35.3	179233387	179265077	31691	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
FLT4	chr5	180028505	180076624	48120	-	5q35.3	180028505	180076624	48120	Normal	-0.0201141411775921	172177194	Hetero	0.5	180550965
IRF4	chr6	391738	411443	19706	+	6p25.3	391738	411443	19706	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3A	chr6	26020717	26021186	470	+	6p22.2	26020717	26021186	470	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3B	chr6	26031816	26032288	473	-	6p22.2	26031816	26032288	473	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3C	chr6	26045638	26046097	460	+	6p22.2	26045638	26046097	460	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3D	chr6	26197011	26199521	2511	-	6p22.2	26197011	26199521	2511	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3E	chr6	26225382	26225844	463	+	6p22.2	26225382	26225844	463	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3F	chr6	26250369	26250835	467	-	6p22.2	26250369	26250835	467	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3G	chr6	26271145	26271612	468	-	6p22.2	26271145	26271612	468	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3H	chr6	27777841	27778314	474	+	6p22.1	27777841	27778314	474	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3I	chr6	27839622	27840099	478	-	6p22.1	27839622	27840099	478	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
HIST1H3J	chr6	27858092	27858570	479	-	6p22.1	27858092	27858570	479	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
DDR1	chr6	30850389	30867933	17545	+	6p21.33	30850389	30867933	17545	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
NOTCH4	chr6	32162619	32191844	29226	-	6p21.32	32162619	32191844	29226	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
BRD2	chr6	32936436	32949282	12847	+	6p21.32	32936436	32949282	12847	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
DAXX	chr6	33286334	33290793	4460	-	6p21.32	33286334	33290793	4460	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
BAK1	chr6	33540322	33548070	7749	-	6p21.31	33540322	33548070	7749	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
FANCE	chr6	35420137	35434881	14745	+	6p21.31	35420137	35434881	14745	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
CDKN1A	chr6	36644236	36655116	10881	+	6p21.2	36644236	36655116	10881	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
CCND3	chr6	41902670	42016632	113963	-	6p21.1	41902670	42016632	113963	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
VEGFA	chr6	43737945	43754223	16279	+	6p21.1	43737945	43754223	16279	Normal	-0.00343985399418861	53469376	Hetero	0.5	53411853
PRDM1	chr6	106534194	106557814	23621	+	6q21	106534194	106557814	23621	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
FYN	chr6	111981534	112194655	213122	-	6q21	111981534	112194655	213122	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
WISP3	chr6	112375277	112390887	15611	+	6q21	112375277	112390887	15611	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
ROS1	chr6	117609529	117747018	137490	-	6q22.1	117609529	117747018	137490	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
GOPC	chr6	117881432	117923705	42274	-	6q22.1	117881432	117923705	42274	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
MYB	chr6	135502452	135540311	37860	+	6q23.3	135502452	135540311	37860	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
TNFAIP3	chr6	138188324	138204451	16128	+	6q23.3	138188324	138204451	16128	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
ESR1	chr6	152011630	152450738	439109	+	6q25.1	152011630	152450738	439109	Normal	0.00392658524566336	61150886	Hetero	0.5	61039037
ARID1B	chr6	157099063	157531913	432851	+	6q25.3	157099063	157531913	432851	Loss	-0.517146950572832	2255363	Unbalanced	0.25958056858778	1879973
EZR	chr6	159186772	159240456	53685	-	6q25.3	159186772	159240456	53685	Normal	0.0100460685130167	12473166	Hetero	0.5	12078983
IGF2R	chr6	160390130	160532534	142405	+	6q25.3	160390130	160532534	142405	Normal	0.0100460685130167	12473166	Hetero	0.5	12078983
PARK2	chr6	161768589	163148834	1380246	-	6q26	161768589	163148834	1380246	Normal	0.0100460685130167	12473166	Hetero	0.5	12078983
PHF10	chr6	170104001	170124106	20106	-	6q27	170104001	170124106	20106	Normal	0.0100460685130167	12473166	Hetero	0.5	12078983
PDGFA	chr7	536896	559481	22586	-	7p22.3	536896	559481	22586	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
CARD11	chr7	2945709	3083579	137871	-	7p22.2	2945709	3083579	137871	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
ACTB	chr7	5566778	5570232	3455	-	7p22.1	5566778	5570232	3455	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
PMS2	chr7	6010555	6048737	38183	-	7p22.1	6010555	6048737	38183	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
ETV1	chr7	13930855	14031050	100196	-	7p21.2	13930855	14031050	100196	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
HDAC9	chr7	18126564	19042037	915474	+	7p21.1	18126564	19042037	915474	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
GPNMB	chr7	23286315	23314729	28415	+	7p15.3	23286315	23314729	28415	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
INHBA	chr7	41728600	41742706	14107	-	7p14.1	41728600	41742706	14107	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
OGDH	chr7	44646120	44748669	102550	+	7p13	44646120	44748669	102550	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
IKZF1	chr7	50343678	50472798	129121	+	7p12.2	50343678	50472798	129121	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
EGFR	chr7	55086724	55275031	188308	+	7p11.2	55086724	55275031	188308	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
BCL7B	chr7	72950682	72972065	21384	-	7q11.23	72950682	72972065	21384	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
MDH2	chr7	75677336	75696827	19492	+	7q11.23	75677336	75696827	19492	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
HSPB1	chr7	75931874	75933614	1741	+	7q11.23	75931874	75933614	1741	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
HGF	chr7	81328323	81399514	71192	-	7q21.11	81328323	81399514	71192	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
STEAP1	chr7	89783688	89794141	10454	+	7q21.13	89783688	89794141	10454	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
FZD1	chr7	90893782	90898132	4351	+	7q21.13	90893782	90898132	4351	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
AKAP9	chr7	91570188	91739987	169800	+	7q21.2	91570188	91739987	169800	Normal	0.0331891842763632	95169822	Hetero	0.5	95140966
