SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
84	16	83887	32137965	2412	TotalCN	2	0.002	0.488	homogeneous	2	21-DC.OSCHP
85	16	32529165	34224384	24	TotalCN	3	0.332	NaN	homogeneous	2	21-DC.OSCHP
86	16	34238188	90158005	3398	TotalCN	2	-0.009	0.488	homogeneous	2	21-DC.OSCHP
87	17	400959	80263427	6413	TotalCN	2	-0.007	0.487	homogeneous	2	21-DC.OSCHP
88	18	12842	78007784	5595	TotalCN	2	0.001	0.488	homogeneous	2	21-DC.OSCHP
89	19	247232	54074747	4496	TotalCN	2	0.01	0.488	homogeneous	2	21-DC.OSCHP
90	19	54080960	54590481	40	TotalCN	2.5	0.281	0.479	homogeneous	2	21-DC.OSCHP
91	19	54596619	59093239	299	TotalCN	2	0.007	0.485	homogeneous	2	21-DC.OSCHP
92	20	69094	62912463	5091	TotalCN	2	0.013	0.487	homogeneous	2	21-DC.OSCHP
93	21	9648315	44872454	2111	TotalCN	2	0.01	0.488	homogeneous	2	21-DC.OSCHP
94	21	44889292	45267193	27	TotalCN	1.5	-0.288	NaN	homogeneous	2	21-DC.OSCHP
95	21	45270143	48097610	211	TotalCN	2	-0.009	0.489	homogeneous	2	21-DC.OSCHP
96	22	16054713	22386829	488	TotalCN	2	0.01	0.486	homogeneous	2	21-DC.OSCHP
97	22	22395035	22587439	40	TotalCN	3	0.308	0.372	homogeneous	2	21-DC.OSCHP
98	22	22590780	24341388	172	TotalCN	2	-0.02	0.491	homogeneous	2	21-DC.OSCHP
99	22	24346428	24390318	20	TotalCN	0	-2.073	0.439	homogeneous	2	21-DC.OSCHP
100	22	24394088	51213826	2076	TotalCN	2	0	0.488	homogeneous	2	21-DC.OSCHP
101	24	177942	155219364	11190	TotalCN	2	-0.034	0.485	homogeneous	2	21-DC.OSCHP
102	25	2660163	28799935	614	TotalCN	0	-3.62	0.39	homogeneous	2	21-DC.OSCHP
1	1	754192	121350934	9085	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
2	1	144009053	147830492	223	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
3	1	149044448	249212878	7779	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
4	2	21494	90245035	6247	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
5	2	91866487	91866487	1	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
6	2	95429197	135008041	2641	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
7	2	135032134	138074522	161	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
8	2	138077219	243052331	7944	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
9	3	63411	90473621	7267	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
10	3	93517443	197852564	7703	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
11	4	71566	49092454	3083	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
12	4	52684891	190915650	9184	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
13	5	38139	46401271	3231	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
14	5	49441966	68828372	1383	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
15	5	70306678	128721245	3947	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
16	5	128735170	132056147	244	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
17	5	132069706	180698312	3530	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
18	6	204909	58770502	3830	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
19	6	61886393	170913051	7632	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
20	7	41421	58011645	4475	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
21	7	61064518	159118443	7442	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
22	8	172417	7004147	1044	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
23	8	8094763	43751375	2811	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
24	8	46896972	49690484	252	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
25	8	49695775	146292734	7810	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
26	9	204738	39184065	3213	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
27	9	44098813	44893094	4	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
28	9	68170421	68170421	1	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
29	9	70984372	141054761	5300	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
30	10	126070	39146676	2836	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
31	10	42413322	135434303	6838	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
32	11	192764	46339995	3344	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
33	11	46359645	50206408	251	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
34	11	50219823	51575951	59	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
35	11	54795357	134938847	6209	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
36	12	189400	34828211	2848	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
37	12	37927248	133818115	7477	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
38	13	19084823	56284730	3073	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
39	13	56297141	59168419	194	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
40	13	59178258	115103150	4643	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
41	14	20219083	107282024	6748	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
42	15	20161372	20212798	6	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
43	15	22752399	102397317	5981	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
44	16	83887	31947653	2370	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
45	16	31957368	35271725	87	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
46	16	46461309	90158005	3316	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
47	17	400959	22217883	1728	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
48	17	25326941	80263427	4626	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
49	18	12842	15377471	1070	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
50	18	18554307	78007784	4505	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
51	19	247232	24544320	2106	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
52	19	27754573	59093239	2665	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
53	20	69094	26309255	2580	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
54	20	29519156	62912463	2491	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
55	21	9648315	10964139	8	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
56	21	14344537	48097610	2335	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
57	22	16054713	51213826	2714	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
58	24	177942	2726248	113	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
59	24	2730289	58412929	4065	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
60	24	61732394	63114077	82	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
61	24	63135275	67110724	475	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
62	24	67130648	73679419	506	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
63	24	73680800	76517355	185	LOH	1	-	-	homogeneous	2	21-DC.OSCHP
64	24	76524211	155219364	5584	LOH	0	-	-	homogeneous	2	21-DC.OSCHP
