SegmentID	Chromosome	StartPosition	StopPosition	MarkerCount	Type	State	Median Log2 Ratio	Median BAF	% Aberr. Cells	TuScan Ploidy	FileName
83	16	89221179	89408534	24	TotalCN	3	0.207	NaN	70	2	14-CJ.OSCHP
84	16	89411295	90158005	129	TotalCN	2	-0.009	0.475	70	2	14-CJ.OSCHP
85	17	400959	80263427	6413	TotalCN	2	-0.018	0.483	70	2	14-CJ.OSCHP
86	18	12842	78007784	5595	TotalCN	1	-0.519	0.218	70	2	14-CJ.OSCHP
87	19	247232	1224164	154	TotalCN	2	-0.092	0.485	70	2	14-CJ.OSCHP
88	19	1224518	1265925	36	TotalCN	1	-0.507	NaN	70	2	14-CJ.OSCHP
89	19	1283188	59093239	4645	TotalCN	2	-0.036	0.483	70	2	14-CJ.OSCHP
90	20	69094	62912463	5091	TotalCN	2	0.009	0.481	70	2	14-CJ.OSCHP
91	21	9648315	48097610	2349	TotalCN	1	-0.537	0.222	70	2	14-CJ.OSCHP
92	22	16054713	51213826	2796	TotalCN	1	-0.531	0.216	70	2	14-CJ.OSCHP
93	24	177942	155219364	11190	TotalCN	1	-0.757	NaN	70	2	14-CJ.OSCHP
94	25	2660163	10010068	178	TotalCN	1	-2.136	NaN	70	2	14-CJ.OSCHP
95	25	13134531	17071636	168	TotalCN	0	-2.119	0.087	70	2	14-CJ.OSCHP
96	25	17108675	18005287	51	TotalCN	1	-2.168	NaN	70	2	14-CJ.OSCHP
97	25	18033399	28799935	217	TotalCN	0	-2.092	0.127	70	2	14-CJ.OSCHP
1	1	754192	121350934	9085	LOH	1	-	-	70	2	14-CJ.OSCHP
2	1	144009053	147830492	223	LOH	0	-	-	70	2	14-CJ.OSCHP
3	1	149044448	249212878	7779	LOH	0	-	-	70	2	14-CJ.OSCHP
4	2	21494	90245035	6247	LOH	0	-	-	70	2	14-CJ.OSCHP
5	2	91866487	91866487	1	LOH	0	-	-	70	2	14-CJ.OSCHP
6	2	95429197	243052331	10746	LOH	0	-	-	70	2	14-CJ.OSCHP
7	3	63411	47681881	3659	LOH	0	-	-	70	2	14-CJ.OSCHP
8	3	47689276	50770158	286	LOH	1	-	-	70	2	14-CJ.OSCHP
9	3	50772664	90473621	3322	LOH	0	-	-	70	2	14-CJ.OSCHP
10	3	93517443	197852564	7703	LOH	0	-	-	70	2	14-CJ.OSCHP
11	4	71566	49092454	3083	LOH	0	-	-	70	2	14-CJ.OSCHP
12	4	52684891	190915650	9184	LOH	1	-	-	70	2	14-CJ.OSCHP
13	5	38139	46401271	3231	LOH	0	-	-	70	2	14-CJ.OSCHP
14	5	49441966	68828372	1383	LOH	0	-	-	70	2	14-CJ.OSCHP
15	5	70306678	180698312	7721	LOH	0	-	-	70	2	14-CJ.OSCHP
16	6	204909	58770502	3830	LOH	0	-	-	70	2	14-CJ.OSCHP
17	6	61886393	170913051	7632	LOH	0	-	-	70	2	14-CJ.OSCHP
18	7	41421	58011645	4475	LOH	0	-	-	70	2	14-CJ.OSCHP
19	7	61064518	159118443	7442	LOH	0	-	-	70	2	14-CJ.OSCHP
20	8	172417	7004147	1044	LOH	0	-	-	70	2	14-CJ.OSCHP
21	8	8094763	43751375	2811	LOH	0	-	-	70	2	14-CJ.OSCHP
22	8	46896972	49724699	255	LOH	1	-	-	70	2	14-CJ.OSCHP
23	8	49751283	146292734	7807	LOH	0	-	-	70	2	14-CJ.OSCHP
24	9	204738	39184065	3213	LOH	0	-	-	70	2	14-CJ.OSCHP
25	9	44098813	44893094	4	LOH	0	-	-	70	2	14-CJ.OSCHP
26	9	68170421	68170421	1	LOH	0	-	-	70	2	14-CJ.OSCHP
27	9	70984372	141054761	5300	LOH	0	-	-	70	2	14-CJ.OSCHP
28	10	126070	39146676	2836	LOH	0	-	-	70	2	14-CJ.OSCHP
29	10	42413322	135434303	6838	LOH	0	-	-	70	2	14-CJ.OSCHP
30	11	192764	51575951	3654	LOH	0	-	-	70	2	14-CJ.OSCHP
31	11	54795357	134938847	6209	LOH	0	-	-	70	2	14-CJ.OSCHP
32	12	189400	34828211	2848	LOH	0	-	-	70	2	14-CJ.OSCHP
33	12	37927248	133818115	7477	LOH	0	-	-	70	2	14-CJ.OSCHP
34	13	19084823	115103150	7910	LOH	1	-	-	70	2	14-CJ.OSCHP
35	14	20219083	107282024	6748	LOH	0	-	-	70	2	14-CJ.OSCHP
36	15	20161372	20212798	6	LOH	0	-	-	70	2	14-CJ.OSCHP
37	15	22752399	102397317	5981	LOH	1	-	-	70	2	14-CJ.OSCHP
38	16	83887	35271725	2457	LOH	0	-	-	70	2	14-CJ.OSCHP
39	16	46461309	90158005	3316	LOH	0	-	-	70	2	14-CJ.OSCHP
40	17	400959	22217883	1728	LOH	0	-	-	70	2	14-CJ.OSCHP
41	17	25326941	80263427	4626	LOH	0	-	-	70	2	14-CJ.OSCHP
42	18	12842	15377471	1070	LOH	1	-	-	70	2	14-CJ.OSCHP
43	18	18554307	78007784	4505	LOH	1	-	-	70	2	14-CJ.OSCHP
44	19	247232	24544320	2106	LOH	0	-	-	70	2	14-CJ.OSCHP
45	19	27754573	59093239	2665	LOH	0	-	-	70	2	14-CJ.OSCHP
46	20	69094	26309255	2580	LOH	0	-	-	70	2	14-CJ.OSCHP
47	20	29519156	62912463	2491	LOH	0	-	-	70	2	14-CJ.OSCHP
48	21	9648315	10964139	8	LOH	0	-	-	70	2	14-CJ.OSCHP
49	21	14344537	48097610	2335	LOH	1	-	-	70	2	14-CJ.OSCHP
50	22	16054713	51213826	2714	LOH	1	-	-	70	2	14-CJ.OSCHP
51	24	177942	58412929	4178	LOH	1	-	-	70	2	14-CJ.OSCHP
52	24	61732394	155219364	6832	LOH	1	-	-	70	2	14-CJ.OSCHP
