probeID	CHROMOSOME	START_POS	END_POS	2-AD
S-tag169763	1	54854984	54855004	-0.7329972
S-tag235826	1	56247216	56247236	-0.8710151
S-tag053318	1	57747403	57747423	-0.8845134
S-tag088828	1	59147926	59147946	-0.6868721
S-tag304068	1	59292269	59292289	-0.9610566
S-tag177511	1	60559382	60559402	-0.5601564
S-tag312710	1	61947516	61947536	-0.6224154
S-tag086468	1	63412598	63412618	-0.6294354
S-tag191701	1	64794749	64794769	-1.110033
S-tag112299	1	65980838	65980858	-0.8914734
S-tag006968	1	67418027	67418047	-0.4855526
S-tag325866	1	68547789	68547809	-1.107607
S-tag145376	1	69989288	69989308	-1.03523
S-tag242369	1	71375275	71375295	-0.6027771
S-tag271398	1	72887039	72887059	-0.2936964
S-tag087257	1	74350248	74350268	-1.086413
S-tag045016	1	75913826	75913846	-1.024361
S-tag064682	1	77190010	77190030	-0.6863863
S-tag323002	1	78608894	78608914	-0.9254562
S-tag308630	1	80119354	80119374	-0.9780849
S-tag057552	1	81502490	81502510	-0.7426798
S-tag273432	1	82904243	82904263	-0.463313
S-tag174373	1	84552606	84552626	-0.9726096
S-tag089935	1	85763899	85763919	-1.142581
S-tag192578	1	86965419	86965439	-0.667765
S-tag292368	1	88280089	88280109	-0.6861987
S-tag305024	1	89746017	89746037	-1.108245
S-tag132727	1	91025999	91026019	-0.1001098
S-tag130207	1	92170644	92170664	-0.4794722
S-tag224908	1	93218776	93218796	-1.9109
S-tag260099	1	94496053	94496073	-0.6569185
S-tag157653	1	95828905	95828925	-0.8883973
S-tag222318	1	97286510	97286530	-0.2710011
S-tag254294	1	98279091	98279111	-0.5361564
S-tag149052	1	99610115	99610135	-0.5157152
S-tag249509	1	100986282	100986302	-0.3951379
S-tag158384	1	102252905	102252925	-0.6419618
S-tag171193	1	103634657	103634677	-0.34302
S-tag236006	1	105288434	105288454	-1.362688
S-tag054339	1	106787317	106787337	-0.7912467
S-tag290925	1	107886546	107886566	-0.4430179
S-tag144812	1	108652454	108652474	-0.4371218
S-tag317639	1	110186563	110186583	0.1587986
S-tag145599	1	110996950	110996970	-0.5424539
S-tag162113	1	112385812	112385832	-1.307085
S-tag253815	1	113770426	113770446	-0.9729875
S-tag300328	1	114996112	114996132	-0.5171157
S-tag310970	1	115759393	115759413	-0.9415733
S-tag295390	1	117125453	117125473	-0.2023962
S-tag062895	1	118520042	118520062	-0.646976
S-tag179251	1	119940918	119940938	-0.4067433
S-tag255710	1	120553372	120553392	-0.7421386
S-tag177153	1	145588184	145588204	0.1191426
S-tag201485	1	147080180	147080200	-0.421543
S-tag201728	1	149965170	149965190	0.09484889
S-tag048142	1	150847647	150847667	-0.06065835
S-tag071060	1	151995555	151995575	0.03523006
S-tag251102	1	153260711	153260731	0.3923785
S-tag070876	1	154487926	154487946	0.3151096
S-tag237276	1	155790425	155790445	0.2794236
S-tag061578	1	156098620	156098640	-0.3556054
S-tag209598	1	156925435	156925455	0.2048346
S-tag192214	1	158158597	158158617	0.06955029
S-tag140453	1	159567813	159567833	0.08771712
S-tag210057	1	160902163	160902183	0.2114556
S-tag055429	1	161962555	161962575	-1.489524
S-tag245744	1	163183944	163183964	-0.1479739
S-tag237747	1	164536998	164537018	-0.2647087
S-tag320092	1	165410468	165410488	-0.45948
S-tag205220	1	166860471	166860491	0.5704349
S-tag126104	1	168207297	168207317	0.1048649
S-tag286642	1	169568698	169568718	-0.05031978
S-tag194668	1	170773031	170773051	0.1679356
S-tag018984	1	172083881	172083901	0.2878113
S-tag177873	1	173473056	173473076	0.2181108
S-tag137613	1	174928375	174928395	0.1821234
S-tag212718	1	175991645	175991665	-0.06952906
S-tag087287	1	177041997	177042017	0.2009125
S-tag326972	1	178476554	178476574	0.2323734
S-tag180011	1	179689532	179689552	-0.3921044
S-tag096652	1	181116023	181116043	-0.1848876
S-tag010746	1	182542081	182542101	0.05347767
S-tag171959	1	183667180	183667200	-0.244388
S-tag236896	1	184884590	184884610	-0.06245851
S-tag148338	1	186311842	186311862	0.1769414
S-tag117630	1	187155629	187155649	0.5374724
S-tag317210	1	188452658	188452678	0.2409469
S-tag023157	1	190004990	190005010	0.4783018
S-tag107249	1	191475898	191475918	0.213992
S-tag219235	1	192980247	192980267	0.4082085
S-tag043371	1	194070750	194070770	0.4512795
S-tag246105	1	195527078	195527098	0.3277942
S-tag195173	1	197050844	197050864	-0.6627568
S-tag094442	1	198455282	198455302	-0.4573638
S-tag099656	1	199916164	199916184	0.1734381
S-tag176472	1	201375658	201375678	-0.3940115
S-tag185242	1	202794787	202794807	0.4494818
S-tag215475	1	204081892	204081912	-0.07111488
S-tag110981	1	204849035	204849055	-0.2085172
S-tag189398	1	206234290	206234310	-0.2134018
S-tag242909	1	207937612	207937632	-0.06958145
S-tag303420	1	209420098	209420118	0.4306018
S-tag077586	1	210731905	210731925	-0.2151061
S-tag289792	1	212240063	212240083	-0.2833568
S-tag196207	1	213555691	213555711	-0.03004476
S-tag182859	1	214818846	214818866	-0.1182623
S-tag188565	1	216179889	216179909	0.2546185
S-tag253344	1	217429631	217429651	-0.01456906
S-tag241677	1	218582841	218582861	0.06454128
S-tag257868	1	219825554	219825574	-0.09771375
S-tag213444	1	221069370	221069390	0.04474704
S-tag283369	1	222358563	222358583	0.05221033
S-tag131536	1	223905532	223905552	0.2030478
S-tag080864	1	225520055	225520075	-0.1838737
S-tag131129	1	226917898	226917918	-0.06644595
S-tag072137	1	227721710	227721730	-0.2116659
S-tag301831	1	228793290	228793310	-0.3660376
S-tag222863	1	229738170	229738190	0.289446
S-tag269564	1	231189818	231189838	-0.07023976
S-tag260986	1	232650867	232650887	-0.1414333
S-tag323300	1	233823925	233823945	0.07504341
S-tag300748	1	235315671	235315691	-0.06778607
S-tag110303	1	236772680	236772700	0.4269614
S-tag109444	1	238223495	238223515	0.0309974
S-tag064908	1	239676392	239676412	-0.2083212
S-tag039631	1	241119341	241119361	0.1114215
S-tag003365	1	242322529	242322549	0.6459302
S-tag242340	1	243694854	243694874	0.1352781
S-tag123928	1	243942463	243942483	-0.1903077
S-tag054047	1	244877955	244877975	0.1763475
S-tag213894	1	246373295	246373315	-0.007710333
S-tag318484	1	247593978	247593998	0.4192613
S-tag285656	1	248845097	248845117	-0.04233838
S-tag097407	2	1139111	1139131	0.2296403
S-tag170063	2	2732877	2732897	-0.05602457
S-tag240175	2	4322471	4322491	-0.6529033
S-tag224167	2	5806988	5807008	0.08546129
S-tag293247	2	6914714	6914734	-0.09122384
S-tag224286	2	8416705	8416725	-0.5027902
S-tag131035	2	9922283	9922303	0.08361962
S-tag074123	2	11424461	11424481	-0.3105209
S-tag214080	2	12915120	12915140	0.07644666
S-tag263619	2	14438532	14438552	-0.01349038
S-tag286056	2	15930951	15930971	0.06769188
S-tag111308	2	16106552	16106572	0.1027637
S-tag040483	2	17056464	17056484	0.2364613
S-tag069606	2	18083997	18084017	0.3262413
S-tag174983	2	19604769	19604789	0.1019882
S-tag260910	2	21084372	21084392	0.656548
S-tag233689	2	22558609	22558629	-0.3870395
S-tag230660	2	24060439	24060459	0.2398238
S-tag028752	2	25160743	25160763	0.5740983
S-tag266521	2	26450580	26450600	-0.07204916
S-tag302642	2	27961614	27961634	-0.2420929
S-tag271701	2	29411852	29411872	0.02558706
S-tag062246	2	29517823	29517843	0.3441088
S-tag299681	2	29906415	29906435	-0.088788
S-tag307572	2	30643811	30643831	-0.4351519
S-tag143019	2	32096450	32096470	0.03551668
S-tag277847	2	33602571	33602591	-0.1132189
S-tag132016	2	34995934	34995954	0.09557319
S-tag173145	2	36632175	36632195	0.2538296
S-tag298816	2	38064671	38064691	-0.4284549
S-tag125884	2	39082344	39082364	0.04394364
S-tag256453	2	39868986	39869006	0.04417005
S-tag200327	2	41355448	41355468	0.1549134
S-tag037936	2	42462930	42462950	-0.2315319
S-tag171631	2	43428651	43428671	0.0474417
S-tag120585	2	44905265	44905285	0.3630364
S-tag202726	2	46445584	46445604	-0.1972731
S-tag190596	2	47673515	47673535	-0.2887517
S-tag314595	2	48445680	48445700	0.2850644
S-tag188633	2	49972394	49972414	-0.19485
S-tag174667	2	51492453	51492473	0.2586027
S-tag305887	2	52969029	52969049	-0.2193867
S-tag231142	2	54467235	54467255	0.1416921
S-tag003097	2	55969580	55969600	0.3681269
S-tag226112	2	57464439	57464459	-0.1372883
S-tag104440	2	58975143	58975163	-0.198024
S-tag033320	2	60405491	60405511	-0.09017118
S-tag247634	2	61126664	61126684	-0.1759874
S-tag015489	2	61603610	61603630	-0.150539
S-tag091776	2	63118540	63118560	-0.1289354
S-tag026092	2	64623733	64623753	0.09342807
S-tag181912	2	65968494	65968514	0.06688321
S-tag284780	2	67437753	67437773	-0.811051
S-tag271105	2	68776956	68776976	-0.09301357
S-tag157302	2	70251490	70251510	0.1450074
S-tag095606	2	71631109	71631129	-0.2042972
S-tag129686	2	73081263	73081283	0.1290578
S-tag058257	2	74722457	74722477	0.3436058
S-tag220563	2	76020813	76020833	0.07452309
S-tag084058	2	77411737	77411757	0.3929493
S-tag137986	2	78805057	78805077	0.3337821
S-tag011526	2	80214554	80214574	0.03958911
S-tag000442	2	81663140	81663160	0.005886488
S-tag221010	2	83157615	83157635	0.2344335
S-tag234584	2	84602323	84602343	0.2398744
S-tag081463	2	86145787	86145807	0.1027692
S-tag127344	2	88758598	88758618	0.4345182
S-tag111848	2	95431369	95431389	-0.419174
S-tag163896	2	97337491	97337511	0.5730603
S-tag206748	2	99062244	99062264	-0.1808413
S-tag275372	2	99159718	99159738	-0.2787295
S-tag063102	2	99932255	99932275	0.2246929
S-tag275807	2	100582615	100582635	-0.006855111
S-tag242465	2	101824546	101824566	0.04268029
S-tag153923	2	103297704	103297724	-0.1760336
S-tag104419	2	104763415	104763435	0.09563081
S-tag169326	2	106071159	106071179	-0.0544501
S-tag123441	2	107588345	107588365	-0.01659644
S-tag194376	2	109055717	109055737	-0.3266805
S-tag119117	2	110885190	110885210	0.00763405
S-tag302491	2	112736642	112736662	0.241791
S-tag187721	2	113958659	113958679	0.3624062
S-tag276459	2	115131208	115131228	-0.1480506
S-tag082324	2	116675582	116675602	0.268237
S-tag314593	2	118104618	118104638	0.112221
S-tag105333	2	119636455	119636475	-0.1009341
S-tag253536	2	120968205	120968225	0.1594381
S-tag039199	2	122423386	122423406	-0.0424828
S-tag034781	2	123968949	123968969	-0.4616759
S-tag117786	2	125403903	125403923	-0.07044468
S-tag120873	2	126917596	126917616	0.07547498
S-tag120026	2	128071003	128071023	0.2661873
S-tag318421	2	129660367	129660387	0.1319005
S-tag299184	2	131625295	131625315	0.05248181
S-tag315718	2	134070417	134070437	0.1611942
S-tag097312	2	135557642	135557662	0.2016961
S-tag249035	2	137039784	137039804	-0.07039783
S-tag252208	2	138484045	138484065	-0.1171189
S-tag077204	2	140046867	140046887	0.2926081
S-tag301444	2	141019713	141019733	-0.1868597
S-tag038856	2	141121736	141121756	-0.05730784
S-tag046779	2	141253408	141253428	0.03791999
S-tag084922	2	141463604	141463624	0.0510414
S-tag093953	2	141616911	141616931	-0.06197796
S-tag113355	2	141729063	141729083	0.06609705
S-tag172959	2	141944255	141944275	0.1933623
S-tag257477	2	142388394	142388414	0.0571482
S-tag133086	2	143420408	143420428	-0.03753184
S-tag151487	2	144919995	144920015	-0.1365011
S-tag158813	2	146422200	146422220	-0.1346087
S-tag078793	2	147852042	147852062	0.08780243
S-tag152164	2	149434485	149434505	0.0229458
S-tag303010	2	151041667	151041687	0.08892933
S-tag309367	2	152409416	152409436	0.3122411
S-tag220072	2	153473794	153473814	0.2393457
S-tag301222	2	154714724	154714744	-0.2650883
S-tag296826	2	156156311	156156331	-0.01442787
S-tag045182	2	157649957	157649977	0.1770349
S-tag178538	2	159071260	159071280	-0.06858771
S-tag234446	2	160431740	160431760	-0.0912973
S-tag195933	2	161891382	161891402	0.4278267
S-tag228423	2	163298386	163298406	-0.005359051
S-tag129418	2	164798274	164798294	-0.3704853
S-tag277021	2	166268325	166268345	0.2922833
S-tag304892	2	167758393	167758413	-0.2250136
S-tag130133	2	169193973	169193993	-0.0598945
S-tag237205	2	170696078	170696098	-0.08847466
S-tag012494	2	171416966	171416986	-0.3312667
S-tag165376	2	172694629	172694649	0.3539484
S-tag090194	2	173735925	173735945	0.0849986
S-tag218579	2	175240292	175240312	-0.1182725
S-tag240699	2	176524772	176524792	0.02994074
S-tag172688	2	177840892	177840912	0.400562
S-tag109575	2	179213872	179213892	-0.2117263
S-tag004208	2	180708309	180708329	0.2321636
S-tag191530	2	182257449	182257469	-0.3990219
S-tag172174	2	183602821	183602841	-0.07365872
S-tag320013	2	185143062	185143082	0.01233347
S-tag188681	2	186691048	186691068	-0.2976548
S-tag278865	2	188256158	188256178	0.3826476
S-tag142871	2	189739928	189739948	0.3445279
S-tag079252	2	190727531	190727551	0.2824187
S-tag050734	2	192072088	192072108	-0.2544672
S-tag092093	2	193647475	193647495	-0.2309155
S-tag261360	2	195174772	195174792	0.09588472
S-tag239248	2	196696633	196696653	-0.02839977
S-tag267634	2	198246625	198246645	0.3154466
S-tag321228	2	199680501	199680521	-0.3467313
S-tag325718	2	201184348	201184368	-0.09471367
S-tag267380	2	202501448	202501468	-0.2319621
S-tag096870	2	203959337	203959357	-0.04712038
S-tag029309	2	205434906	205434926	-0.03147578
S-tag083852	2	206941701	206941721	-0.6249302
S-tag120225	2	208403471	208403491	-0.2091824
S-tag060576	2	209618773	209618793	-0.5424588
S-tag152892	2	211132415	211132435	-0.02479584
S-tag120208	2	212273659	212273679	0.02310447
S-tag326998	2	212526398	212526418	0.2994952
S-tag214961	2	212650985	212651005	0.005932144
S-tag197165	2	213399373	213399393	-0.3121256
S-tag166876	2	214740080	214740100	0.3489212
S-tag193844	2	216064440	216064460	0.3754518
S-tag258007	2	217463442	217463462	0.09530109
S-tag067405	2	219010146	219010166	0.1780897
S-tag296959	2	220241274	220241294	-0.0116992
S-tag260624	2	221578398	221578418	-0.03176906
S-tag201069	2	223075071	223075091	-0.105793
S-tag182495	2	224250806	224250826	0.0731222
S-tag279902	2	225709336	225709356	0.1137044
S-tag017511	2	227165587	227165607	0.8855991
S-tag230211	2	228157661	228157681	0.1548793
S-tag193523	2	229694800	229694820	-0.598159
S-tag220239	2	231220671	231220691	-0.1505505
S-tag297861	2	232641891	232641911	0.2662552
S-tag318449	2	234206750	234206770	0.154672
S-tag151172	2	235683888	235683908	0.1224364
S-tag049179	2	237182362	237182382	-0.1367613
S-tag170200	2	238495115	238495135	0.005033037
S-tag261749	2	240020509	240020529	0.2440636
S-tag069994	2	241571572	241571592	-0.4429625
S-tag305772	2	242684574	242684594	0.3837556
S-tag115312	3	700642	700662	-0.3117373
S-tag070777	3	2156544	2156564	-0.1961816
S-tag247196	3	3647609	3647629	0.0006736833
S-tag262090	3	5111551	5111571	0.03796782
S-tag067819	3	6596774	6596794	-0.0711191
S-tag093833	3	8041330	8041350	0.1478786
S-tag183159	3	9188615	9188635	0.2846749
S-tag085043	3	10147070	10147090	0.02183207
S-tag325698	3	10336291	10336311	-0.01984359
S-tag047088	3	11836386	11836406	0.4420316
S-tag190662	3	12680432	12680452	0.2712106
S-tag022748	3	14005707	14005727	-0.2454326
S-tag137959	3	15281026	15281046	0.2233827
S-tag091985	3	16779275	16779295	0.260719
S-tag034145	3	18279461	18279481	-0.4058964
S-tag163962	3	19773280	19773300	0.2413936
S-tag243741	3	21001290	21001310	-0.3013042
S-tag244790	3	22419540	22419560	0.04191379
S-tag240844	3	23900401	23900421	-0.1142503
S-tag300082	3	24580765	24580785	0.2504303
S-tag317186	3	26057822	26057842	0.1296414
S-tag288222	3	27494475	27494495	-0.1270861
S-tag188567	3	28993507	28993527	0.06145494
S-tag044453	3	30506137	30506157	-0.5406663
S-tag088038	3	31358822	31358842	0.05332825
S-tag315316	3	32811202	32811222	0.1782553
S-tag173090	3	34303283	34303303	0.1899397
S-tag202290	3	35753579	35753599	0.0232163
S-tag249361	3	37057310	37057330	-0.5754434
S-tag153350	3	38273630	38273650	0.2688096
S-tag186276	3	39705709	39705729	-0.3498125
S-tag039235	3	41168084	41168104	0.2672866
S-tag324326	3	42156960	42156980	0.2026023
S-tag053589	3	43648035	43648055	-0.3069635
S-tag214290	3	45149708	45149728	0.7904407
S-tag306865	3	46652429	46652449	0.9154856
S-tag173218	3	47821025	47821045	-0.05792161
S-tag240664	3	48845251	48845271	0.006887603
S-tag136711	3	49961780	49961800	0.2149805
S-tag043470	3	50862740	50862760	0.2212967
S-tag163247	3	51370933	51370953	0.08675316
S-tag012606	3	52584787	52584807	0.2762737
S-tag248582	3	53823098	53823118	0.2500612
S-tag301435	3	55281622	55281642	-0.4527088
S-tag127956	3	56759692	56759712	-0.4580877
S-tag133707	3	58234479	58234499	0.3530512
S-tag193810	3	59655530	59655550	0.3968657
S-tag314366	3	60321572	60321592	0.1300955
S-tag026245	3	61042317	61042337	-0.07130725
S-tag135034	3	62003802	62003822	0.2292207
S-tag247222	3	63523865	63523885	-0.1419644
S-tag210745	3	64810213	64810233	-0.204976
S-tag141652	3	66370877	66370897	-0.351972
S-tag204810	3	67797782	67797802	NA
S-tag142764	3	69274314	69274334	0.3719129
S-tag021409	3	69820499	69820519	0.09413882
S-tag090064	3	69889503	69889523	-0.2840803
S-tag157214	3	69956392	69956412	0.06254054
S-tag167933	3	70039781	70039801	0.3406251
S-tag324543	3	71249675	71249695	-0.3055959
S-tag187587	3	72778610	72778630	-0.1103964
S-tag137618	3	74307352	74307372	0.2048175
S-tag309739	3	76101757	76101777	0.04963744
S-tag002552	3	77256498	77256518	-0.1104421
S-tag123909	3	77831966	77831986	0.01160095
S-tag303279	3	78872796	78872816	-0.0466186
S-tag267653	3	79964141	79964161	0.1408953
S-tag238861	3	81465962	81465982	0.2723506
S-tag182415	3	82967819	82967839	-0.09063552
S-tag243415	3	84478488	84478508	-0.3793663
S-tag173345	3	85974781	85974801	-0.2362116
S-tag007588	3	87485999	87486019	0.1080498
S-tag017834	3	88989209	88989229	0.08682394
S-tag224702	3	89854876	89854896	0.4165235
S-tag165020	3	94461951	94461971	-0.6866652
S-tag187639	3	95960972	95960992	-0.8156308
S-tag219430	3	97459566	97459586	-0.155198
S-tag095300	3	98960778	98960798	-0.6430874
S-tag201468	3	100417574	100417594	-0.6620446
S-tag049749	3	101738366	101738386	-0.9101879
S-tag120574	3	103271449	103271469	-0.5767224
S-tag140510	3	104759032	104759052	-0.7230512
S-tag081271	3	105807324	105807344	-1.818961
S-tag211606	3	107298624	107298644	-0.4906044
S-tag147433	3	108423538	108423558	-0.3637526
S-tag071906	3	109868546	109868566	-0.2251406
S-tag192957	3	111352799	111352819	-0.5577179
S-tag079575	3	112826253	112826273	-1.222248
S-tag165552	3	114341380	114341400	-0.8472104
S-tag278510	3	115851403	115851423	NA
S-tag199275	3	117340316	117340336	-0.5420052
S-tag101626	3	118842620	118842640	-0.62554
S-tag199614	3	119667858	119667878	-0.6455641
S-tag277277	3	120359252	120359272	-0.76047
S-tag024772	3	121865059	121865079	-0.3374667
S-tag235230	3	123319713	123319733	-0.8334657
S-tag055033	3	124701188	124701208	-0.6477614
S-tag156703	3	126392912	126392932	-0.05115524
S-tag147182	3	127942379	127942399	-0.6050718
S-tag195227	3	128937568	128937588	-0.2330085
S-tag077119	3	130499302	130499322	-0.6957107
S-tag040572	3	132019108	132019128	-0.9697897
S-tag247968	3	133472227	133472247	-2.525085
S-tag236983	3	134576446	134576466	-0.6376781
S-tag009534	3	135273799	135273819	-0.7167637
S-tag321172	3	136769566	136769586	-0.3835516
S-tag071462	3	138126481	138126501	-0.449981
S-tag317754	3	138900072	138900092	-0.6999114
S-tag012418	3	140407260	140407280	-1.134991
S-tag261015	3	141932356	141932376	-0.4545985
S-tag129235	3	143132388	143132408	-0.7172379
S-tag192320	3	144635730	144635750	-0.4255345
S-tag091896	3	146132457	146132477	-1.504676
S-tag258267	3	147631763	147631783	-0.608694
S-tag252000	3	149167628	149167648	-0.51951
S-tag139278	3	150500809	150500829	-0.7299309
S-tag180660	3	151960936	151960956	-0.3057282
S-tag032670	3	153463381	153463401	-0.0668043
S-tag006826	3	154970090	154970110	-1.168327
S-tag192310	3	156266880	156266900	-1.076141
S-tag052896	3	157587098	157587118	-1.097523
S-tag254354	3	158882833	158882853	-0.792992
S-tag072150	3	160353328	160353348	-0.6852866
S-tag250902	3	161837898	161837918	-0.355338
S-tag126685	3	163337161	163337181	-0.7855179
S-tag027338	3	164846305	164846325	-0.7318752
S-tag283974	3	166341617	166341637	-0.839964
S-tag205037	3	167845900	167845920	-0.6374606
S-tag187383	3	169128274	169128294	-1.063717
S-tag027199	3	170094908	170094928	-0.6224425
S-tag280411	3	171404478	171404498	-0.6019005
S-tag127491	3	172911361	172911381	-0.5834489
S-tag186116	3	174413951	174413971	-0.5035252
S-tag023854	3	175905626	175905646	-0.9752085
S-tag232835	3	177420798	177420818	-0.6686635
S-tag173150	3	178779546	178779566	-0.5819088
S-tag052962	3	179696719	179696739	-0.2265429
S-tag327808	3	181126962	181126982	-0.1820131
S-tag230172	3	182432406	182432426	-0.8915828
S-tag072819	3	183943141	183943161	-0.3305991
S-tag162888	3	185494268	185494288	-0.8713881
S-tag030430	3	186587684	186587704	-0.7861961
S-tag139917	3	187875552	187875572	-1.506717
S-tag228980	3	188376304	188376324	-0.4554912
S-tag152973	3	189347364	189347384	-0.3410378
S-tag104080	3	189596931	189596951	-0.5621056
S-tag212568	3	190668132	190668152	-0.9796339
S-tag150439	3	192167149	192167169	-0.5663874
S-tag018479	3	193668899	193668919	-0.6920041
S-tag196084	3	195235695	195235715	-0.5818791
S-tag120166	3	196490221	196490241	-1.045225
S-tag126689	3	197446887	197446907	-0.9687349
S-tag174031	4	1087901	1087921	-0.1762652
S-tag089986	4	2026347	2026367	-0.150648
S-tag153726	4	3686670	3686690	0.2869657
S-tag110189	4	5338254	5338274	0.0795044
S-tag038956	4	6874834	6874854	-0.09769903
S-tag033301	4	8603895	8603915	-0.01113499
S-tag025585	4	10707508	10707528	-0.00536298
S-tag120473	4	12258122	12258142	-0.2617467
S-tag170297	4	13755011	13755031	0.04699913
S-tag276293	4	15162725	15162745	0.1084515
S-tag053326	4	16606940	16606960	0.6510847
S-tag068337	4	18085043	18085063	-0.1993592
S-tag090676	4	19577168	19577188	0.06269266
S-tag267810	4	21057794	21057814	-0.1072647
S-tag006684	4	22488762	22488782	0.1877278
S-tag132068	4	23955370	23955390	0.5404208
S-tag146793	4	25281948	25281968	0.3790041
S-tag090808	4	26773973	26773993	-0.2801858
S-tag235737	4	28246155	28246175	0.1904301
S-tag229193	4	29748096	29748116	-0.5811129
S-tag155410	4	31275567	31275587	-0.3515214
S-tag051326	4	32791964	32791984	0.001116256
S-tag186135	4	34291130	34291150	0.03070473
S-tag194549	4	35789436	35789456	0.08402949
S-tag077340	4	37292307	37292327	-0.1405025
S-tag092226	4	38807654	38807674	0.0351732
S-tag053250	4	40222017	40222037	0.06066027
S-tag089278	4	41637621	41637641	0.6168509
S-tag238781	4	42942509	42942529	0.2869081
S-tag309285	4	44258348	44258368	0.5376794
S-tag001625	4	45381447	45381467	0.2205448
S-tag296483	4	46579659	46579679	0.0570767
S-tag244778	4	48109455	48109475	0.538095
S-tag247064	4	53130140	53130160	0.03577384
S-tag099564	4	54462906	54462926	0.009403626
S-tag167840	4	55274856	55274876	0.07745421
S-tag238088	4	55975719	55975739	0.262635
S-tag301511	4	57271109	57271129	-0.2702477
S-tag291456	4	58769075	58769095	-0.4033841
S-tag143609	4	60318921	60318941	-0.1036943
S-tag058789	4	61832236	61832256	0.2161557
S-tag157323	4	62680775	62680795	0.2931912
S-tag311144	4	63643952	63643972	-0.2656381
S-tag019558	4	65140073	65140093	0.04921083
S-tag075092	4	66332919	66332939	-0.08490626
S-tag223920	4	67402346	67402366	0.0515038
S-tag236082	4	68910122	68910142	0.05878324
S-tag045428	4	71169616	71169636	0.05156425
S-tag273951	4	72699705	72699725	0.5940583
S-tag227949	4	74236264	74236284	0.2204828
S-tag214821	4	75826413	75826433	0.1950309
S-tag230278	4	77144259	77144279	-0.06575061
S-tag059083	4	78655272	78655292	-0.02613395
S-tag041303	4	79371579	79371599	0.1337599
S-tag234510	4	80872191	80872211	-0.1503518
S-tag150154	4	82376621	82376641	0.5910956
S-tag261994	4	83872263	83872283	0.1137276
S-tag286252	4	85375567	85375587	0.03008492
S-tag220684	4	86890701	86890721	0.03413809
S-tag299513	4	88028940	88028960	-0.1953857
S-tag249512	4	89451509	89451529	-0.09236885
S-tag264406	4	90943785	90943805	-0.2115602
S-tag314227	4	91937929	91937949	0.633552
S-tag234908	4	93434872	93434892	-0.10689
S-tag223542	4	94908030	94908050	0.1099757
S-tag194631	4	96410986	96411006	-0.04238822
S-tag226968	4	97920304	97920324	-0.2861699
S-tag165582	4	99258548	99258568	0.02751403
S-tag302689	4	100327803	100327823	-0.2008303
S-tag162548	4	101847819	101847839	-0.0762642
S-tag240052	4	103360830	103360850	-0.008707915
S-tag288190	4	104231068	104231088	-0.03400127
S-tag123904	4	105750583	105750603	-0.04673056
S-tag084154	4	106671316	106671336	0.2010541
S-tag256609	4	108146392	108146412	-0.1062261
S-tag237250	4	109672194	109672214	0.08298697
S-tag057381	4	111107586	111107606	0.5419585
S-tag128028	4	112535885	112535905	0.004520385
S-tag148304	4	113992370	113992390	-0.0969388
S-tag009756	4	115532203	115532223	0.0335139
S-tag185097	4	116966644	116966664	-0.1070561
S-tag139565	4	118408638	118408658	0.3383118
