"probeID" "CHROMOSOME" "START_POS" "END_POS" "X1.RV" "X2.AD" "X3.ES" "X4.GM" "X5.LD" "X6.VJ" "X7.DG" "X8.MM" "X9.LA" "X10.CB" "X11.BG" "X12.BC" "X13.VT" "X14.CJ" "X15.GG" "X16.DD" "X17.VV" "X18.JA" "X19.BF" "X20.CJ" "X21.DC"
"4401" "S-tag312472" 1 51964705 51964725 -0.2701972 -0.8992191 -0.530058 -0.4383846 -0.995622 -0.1407338 -0.06100181 -0.1957949 -1.050855 -1.066481 -0.09349944 -1.006644 -0.9127654 -0.9293506 -0.8954682 -1.092841 -0.8144886 -0.6615556 -0.3694122 -0.9073313 -0.2134632
"4501" "S-tag039531" 1 53461473 53461493 0.1247465 -0.5231549 -0.8504142 -0.6884351 -0.6851341 -0.1778803 -0.03856675 0.07884208 -0.6026652 -1.030127 -0.0910824 -0.6091808 -0.8079186 -0.4954398 -0.3645667 -0.7915803 -0.7287749 -0.4253212 -0.2505172 -0.5784444 0.03863684
"4601" "S-tag169763" 1 54854984 54855004 0.01951097 -0.7329972 -0.09623629 -0.150383 -0.5040646 0.05265302 0.1436497 -0.3473872 -0.5911852 -0.7819419 0.01813233 -0.4643668 -1.500852 -0.6290021 -0.3904378 -1.005804 -0.816973 -0.7834231 -0.5265688 -0.9358473 0.008991709
"4701" "S-tag235826" 1 56247216 56247236 0.009586436 -0.8710151 -0.726959 -0.8039343 -0.66675 -0.2056543 0.03642712 -0.007451331 -0.7478201 -0.9423874 -0.05409019 -0.8006088 -1.080875 -0.5797187 -0.4922349 -0.7747023 -0.2751533 -0.3303754 -0.358775 -0.7191464 -0.03815097
"4801" "S-tag053318" 1 57747403 57747423 0.3540325 -0.8845134 -0.1163652 -0.3999558 -0.7862533 0.002008098 -0.3011136 -0.5262648 -1.045868 -0.4512764 -0.1745369 -0.2882447 -0.4587537 -0.7329874 0.2232166 0.261991 -0.2751196 -0.1441429 -0.5114977 -0.8735502 -0.04710469
"4901" "S-tag088828" 1 59147926 59147946 -0.1904277 -0.6868721 -0.4293498 0.03453382 -0.3586912 -0.4151644 -0.0510194 0.09326061 -0.2932974 -0.3362772 0.1301742 -0.2881101 -0.2295934 -0.5152122 -0.5080096 -0.218841 0.2474357 -0.2750321 -0.3342737 -0.1811985 -0.2255069
"5001" "S-tag304068" 1 59292269 59292289 -0.2700909 -0.9610566 -0.9616845 -0.8026248 -0.6849402 -0.8319188 -0.2071505 -0.2207318 -1.056603 -1.051096 -0.2880345 -1.25428 -1.260593 -0.8333247 -0.5373529 -1.034506 -0.4636135 -0.6393859 -0.7012674 -1.370267 -0.2984813
"5101" "S-tag177511" 1 60559382 60559402 -0.4175367 -0.5601564 -0.7803907 -0.4359222 -0.03868296 0.5235988 -0.3234245 0.5111627 -0.6914243 -0.5096692 0.04863213 -0.6228814 0.1448619 -0.5812619 0.4708595 -0.7812816 -0.2995282 -0.6708009 -0.5498322 -1.141517 -0.1611913
"5201" "S-tag312710" 1 61947516 61947536 0.1742987 -0.6224154 -0.8043404 -0.8889579 -0.6798666 -0.9359139 0.08075669 -0.07926372 -0.9348729 -0.9904608 -0.1714133 -0.5548953 -0.6423582 -0.8297626 -0.2499361 -0.9695047 -0.1981538 -0.3387072 -0.2795669 -0.9704167 0.008981256
"5301" "S-tag086468" 1 63412598 63412618 0.3126678 -0.6294354 -0.5199479 -0.2102605 -0.6796817 -0.5461945 -0.4071889 -0.002477492 -0.7087266 -0.6429135 0.1356783 -0.4900847 -0.4134585 -0.783833 -0.2250878 -0.7866236 0.06265184 -0.635905 -0.8346264 -1.018628 0.07902975
"5401" "S-tag191701" 1 64794749 64794769 0.3397506 -1.110033 -0.4678336 -0.5840846 -0.442973 -0.3903536 0.08295527 -0.1594658 -0.961202 -1.075913 -0.2185891 -1.108152 -1.151739 -0.8441972 -0.3392012 -0.6886981 -1.208786 -0.4210884 -0.3477775 -0.6231006 -0.2662916
"5501" "S-tag112299" 1 65980838 65980858 -0.1379907 -0.8914734 -0.6494209 -0.7600843 -0.7674713 -0.6499785 -0.007709375 -0.118829 -0.6759585 -0.7352218 -0.05029554 -0.600355 -0.8182068 -0.4507519 -0.3098338 -0.5266913 -0.8591985 -0.4403924 -0.4534752 -0.5908015 -0.08630142
"5601" "S-tag006968" 1 67418027 67418047 0.3661001 -0.4855526 -0.3467122 -0.2221259 0.344655 0.4368597 0.4128594 0.1207776 -0.5007411 -0.100237 0.6808612 -0.2217844 -0.06473371 -0.4885883 -0.2929664 -0.4129775 0.2027274 -0.07443477 0.3591277 -0.1984926 0.480233
"5701" "S-tag325866" 1 68547789 68547809 -0.4981853 -1.107607 -0.9800699 -1.048574 -0.8633846 -0.7501491 -0.4008761 -0.1179265 -1.045947 -1.397412 -0.269579 -1.019535 -0.9251423 -0.8020159 -0.5336628 -0.8162293 -1.12482 -0.4307849 -0.5337877 -1.948254 -0.2099256
"5801" "S-tag145376" 1 69989288 69989308 -0.2203347 -1.03523 -0.9018648 -0.3765488 -0.8475535 -0.8419774 -0.1935822 -0.2477649 -0.9960498 -0.9163499 -0.2647021 -1.219391 -1.26923 -0.9536662 -0.8365663 -1.156039 -0.375127 -0.6026646 -0.5610145 -0.6831858 -0.4775046
"5901" "S-tag242369" 1 71375275 71375295 -0.0584955 -0.6027771 -0.6820446 -0.6004739 -0.6297742 -0.412701 -0.9274991 0.1495631 -0.4855163 -0.7674198 0.4163787 -0.5487176 -1.411299 -0.9165761 -0.3204913 -0.6446414 -0.168234 -0.1898856 -0.2343482 -0.9497913 0.1257256
"6001" "S-tag271398" 1 72887039 72887059 0.2691737 -0.2936964 -0.1368773 -0.1052014 -0.1205022 0.03008575 0.265998 0.4519043 -0.194759 -0.2823168 0.2071693 -0.2473826 -0.3025952 -0.2119368 -0.09211683 -0.2190713 0.04378032 -0.03766398 0.3084737 -0.1695317 0.3929231
"6101" "S-tag087257" 1 74350248 74350268 0.2542279 -1.086413 -0.551667 -0.06076891 -0.6670139 -0.01375893 -0.07461327 0.429294 -0.3870516 -0.3735276 0.5337375 0.09637062 -0.2007574 -0.4286763 -0.6951124 -0.8223361 -0.01319694 0.1124165 0.01724577 -0.5221925 0.1682405
"6201" "S-tag045016" 1 75913826 75913846 -0.08429619 -1.024361 -0.8386875 -0.7170474 -0.8654554 -0.8082274 -0.05870084 0.07712077 -0.5635864 -0.892911 0.3893124 0.1447915 -0.04247112 -0.4998581 -0.06564265 -0.4047095 0.4812812 -0.3357177 -0.493663 -0.688944 0.007388997
"6301" "S-tag064682" 1 77190010 77190030 -0.2088422 -0.6863863 -0.768864 -0.8146419 -0.6166805 -0.1917448 -0.2575144 -0.2716095 -0.924611 -0.9540472 -0.2889484 -0.1873817 -0.6010394 -0.7489407 -0.4491606 -0.6671505 -0.4880105 -0.7065966 -0.3261922 -1.017516 -0.1820866
"6401" "S-tag323002" 1 78608894 78608914 0.4200854 -0.9254562 -0.682891 -0.5005048 -0.5798931 -0.7160976 0.3833055 0.2691805 -0.5323188 -1.02297 -0.1667887 0.1956512 -0.7096158 -0.5992264 -0.09704232 -0.514962 -0.1699229 -0.1599338 -0.05013161 -0.4021362 0.1033576
"6501" "S-tag308630" 1 80119354 80119374 -0.2876729 -0.9780849 -0.7206199 -0.8450622 -1.259027 0.0695018 -0.1246364 -0.2156708 -1.134385 -0.9581869 0.1547186 -0.3252443 -0.9343877 -0.7608973 -0.9225458 -0.9675999 -0.6105397 -0.1553247 -0.4265803 -1.029901 0.1688942
"6601" "S-tag057552" 1 81502490 81502510 0.2759687 -0.7426798 -0.4774115 -0.1220171 -0.5702608 -0.4848666 0.1441731 0.1316754 -0.6596246 -0.6911476 -0.2176388 -0.3022802 -0.6539721 -0.574128 -0.4006069 -0.5160171 0.3311563 -0.5732117 -0.4120764 -0.7938563 -0.2248038
"6701" "S-tag273432" 1 82904243 82904263 -0.1633321 -0.463313 -0.1294159 -0.6206676 -0.3517816 -0.2007039 -0.008611718 0.1346068 -0.186485 -0.1908364 0.4214359 0.2104812 -0.3856887 -0.4836951 -0.1157894 -0.1479191 -0.002768516 -0.08428831 -0.1854479 -0.3558846 0.06729145
"6801" "S-tag174373" 1 84552606 84552626 -0.2705105 -0.9726096 -0.3502515 -0.3777874 -0.9493137 -0.9219382 -0.1956973 0.08858862 -0.8906239 -0.8215409 -0.03392034 -0.2571536 -0.7287284 -0.5178288 -0.6131472 -0.8011367 0.09874748 0.06171359 -0.6352777 -0.8766014 0.222
"6901" "S-tag089935" 1 85763899 85763919 -0.6166922 -1.142581 -1.142992 -0.5510949 -0.578743 -0.8442342 -0.2982948 0.1200263 -0.7670673 -0.857258 -0.5647656 -0.08142615 -1.080369 -0.7977304 -0.5233832 -1.435795 -0.1191794 -0.6046785 -0.4821213 -0.5322493 -0.2826613
"7001" "S-tag192578" 1 86965419 86965439 -0.07955089 -0.667765 -0.4784168 -0.685342 -0.9756324 -0.8903372 -0.3852405 0.01882526 -0.7493461 -1.089864 -0.07403442 -0.0311127 -0.826993 -0.3471742 -0.2456813 -1.069093 -0.0918819 -0.8114679 -0.5041139 -1.019912 -0.1395601
"7101" "S-tag292368" 1 88280089 88280109 -0.09678635 -0.6861987 -0.8305753 -0.6782996 -0.8592145 -0.619153 -0.2788851 0.0706201 -0.7164097 -0.9446818 0.03995284 -0.04569851 -1.258926 -0.5900581 -0.5681111 -0.8425394 -0.3228005 -0.4862743 -0.3000739 -0.8939204 0.1617526
"7201" "S-tag305024" 1 89746017 89746037 -0.5760928 -1.108245 -0.8479481 -0.7683373 -0.8603686 -0.9037266 -0.2229546 -0.1293209 -0.8155477 -1.050529 -0.2504156 -0.361004 -0.9972478 -0.8283023 -0.6549536 -1.103596 -1.015599 -0.3395245 -0.3913741 -0.8298612 -0.0797525
"7301" "S-tag132727" 1 91025999 91026019 0.6034277 -0.1001098 -0.1702842 0.09871957 -0.1767283 -0.6328378 0.5169955 0.2763039 -0.2945621 -0.1548123 0.257431 0.749506 0.2054912 -0.1210128 0.2960471 0.2631352 0.9780601 -0.1981589 0.1482443 0.142369 0.1630243
"7401" "S-tag130207" 1 92170644 92170664 -0.2981055 -0.4794722 -1.248526 -0.6035538 -0.5637575 -0.5190836 -0.199923 -0.2438908 -1.071964 -0.9452344 0.1787169 0.1699902 -0.7259879 -0.7992584 -0.4893331 -0.9671471 -0.07523919 -0.3182777 -0.4369966 -1.177493 -0.04446862
"7501" "S-tag224908" 1 93218776 93218796 -0.430056 -1.9109 -1.424683 -1.774396 -2.439701 -1.062467 -0.296365 0.09488276 -1.329594 -1.851468 -1.558387 -0.379275 -1.398926 -0.608624 -0.4909045 -0.5630332 -0.8727521 -1.424473 -0.9332685 -0.6765687 -0.6515408
"7601" "S-tag260099" 1 94496053 94496073 -0.009957725 -0.6569185 -0.8043677 -0.5808619 -0.7108495 -0.7205237 0.05962818 -0.157396 -0.7333912 -0.9778572 -0.2165348 -0.1212388 -0.7451147 -0.4400628 -0.4177283 -0.673634 0.027667 -0.511556 -0.307416 -0.826555 -0.08894023
"7701" "S-tag157653" 1 95828905 95828925 -0.2282412 -0.8883973 -0.9588703 -0.8584263 -0.5381963 -1.043073 -0.3550492 -0.5266228 -1.29427 -1.247165 -0.5556104 -0.2615039 -0.8272727 -0.8744974 -0.7342123 -0.8345426 -0.9704728 -0.8857653 -0.6688137 -1.062526 -0.3683239
"7801" "S-tag222318" 1 97286510 97286530 -0.4983463 -0.2710011 -1.426277 -0.3186294 -1.290405 -0.3791135 0.075794 -0.4264286 -0.5708696 -0.4638393 0.03624903 -0.1616452 -1.143982 -0.8659269 -0.2605255 -0.5243838 -0.1004087 -0.7794653 -0.2458414 -0.7872959 -0.7991892
"7901" "S-tag254294" 1 98279091 98279111 0.1260663 -0.5361564 -0.3642348 -0.4750895 -0.4138908 -0.3683468 -0.004775364 0.0402543 -0.7571755 -0.2688738 -0.2490329 0.1589035 -0.3485852 -0.03705923 -0.08684537 -0.4162433 0.06481128 -0.1533826 -0.3775391 -0.6098654 -0.1665297
"8001" "S-tag149052" 1 99610115 99610135 -0.07101355 -0.5157152 -0.4088175 -0.4290634 -0.2673186 -0.3621501 0.2035158 0.001450803 -0.4577516 -0.4617207 0.1268617 -0.2846543 -0.7443525 -0.387976 -0.5305895 -0.6097929 -0.2243644 -0.1174617 -0.06507146 -0.3794656 0.07873596
"8101" "S-tag249509" 1 100986282 100986302 0.5732509 -0.3951379 -0.4695467 -0.2386239 -0.611819 -0.5993991 0.2587675 0.1501327 -0.7630591 -0.728143 0.1477081 0.1900055 -0.8255947 -0.5147086 -0.2346668 -0.3579198 0.3443934 -0.4034595 -0.2197727 -0.4237128 -0.07196419
"8201" "S-tag158384" 1 102252905 102252925 -0.1160493 -0.6419618 -0.2791126 -0.3854128 -0.3138492 -0.6618483 0.1806831 -0.15288 -0.573808 -0.7590532 -0.0668113 0.01194314 -0.5084884 -0.4685073 -0.06004545 -0.6840307 -0.2281485 -0.3880469 -0.1779613 -0.8150395 0.01170679
